a_true,v_true,t_true,a_est,v_est,t_est,bias_a,bias_v,bias_t,se_a,se_v,se_t
1.06181,1.92607,0.39280,0.13593,14.31549,0.59571,-0.92588,12.38942,0.20291,0.85725,153.49776,0.04117
1.79926,1.40167,0.38323,0.49740,27.77522,0.88341,-1.30186,26.37355,0.50018,1.69484,695.56412,0.25018
0.95636,1.28713,0.27278,0.17537,7.90476,0.44373,-0.78099,6.61763,0.17095,0.60994,43.79303,0.02922
1.04954,1.18410,0.41407,0.19767,7.84419,0.72941,-0.85187,6.66009,0.31534,0.72568,44.35679,0.09944
1.41132,0.75579,0.12602,0.86101,0.59329,0.36550,-0.55031,-0.16250,0.23948,0.30284,0.02641,0.05735
1.16023,0.68306,0.29807,0.26217,5.91442,0.59424,-0.89806,5.23136,0.29617,0.80651,27.36713,0.08772
0.96757,1.28010,0.31868,0.16401,9.45408,0.54050,-0.80355,8.17398,0.22181,0.64570,66.81398,0.04920
0.79397,0.56784,0.23013,0.28888,1.76829,0.38012,-0.50509,1.20045,0.14999,0.25512,1.44109,0.02250
0.92140,1.31404,0.15637,0.22178,4.37098,0.31840,-0.69962,3.05693,0.16203,0.48947,9.34485,0.02625
1.72319,1.56029,0.39160,0.26879,8.17437,0.84877,-1.45440,6.61408,0.45717,2.11528,43.74610,0.20900
1.79466,1.43495,0.23236,0.26302,13.92874,0.69074,-1.53164,12.49379,0.45838,2.34591,156.09488,0.21011
1.45634,1.83082,0.28889,0.21235,17.25189,0.66822,-1.24398,15.42108,0.37934,1.54749,237.80956,0.14390
1.65645,1.24069,0.30909,0.31151,7.05352,0.81283,-1.34494,5.81283,0.50374,1.80888,33.78897,0.25375
1.26286,1.86135,0.19972,0.17937,14.00634,0.44820,-1.08349,12.14499,0.24848,1.17395,147.50082,0.06174
0.93463,0.74183,0.47188,0.53742,0.75446,0.63531,-0.39721,0.01263,0.16343,0.15777,0.00016,0.02671
0.77986,1.83884,0.31574,0.13753,7.98841,0.43682,-0.64233,6.14957,0.12108,0.41259,37.81718,0.01466
0.84190,1.14066,0.42721,0.26262,2.35718,0.57533,-0.57928,1.21652,0.14813,0.33557,1.47992,0.02194
0.83316,0.67980,0.23505,1.29669,0.07718,-0.01124,0.46352,-0.60261,-0.24629,0.21486,0.36314,0.06066
1.04544,1.95767,0.48498,0.12328,20.37807,0.64052,-0.92216,18.42039,0.15554,0.85038,339.31090,0.02419
0.55533,1.41435,0.30107,0.06006,23.08155,0.37813,-0.49527,21.66720,0.07706,0.24529,469.46768,0.00594
0.71734,1.23418,0.49426,0.13114,8.37756,0.62880,-0.58621,7.14338,0.13454,0.34364,51.02790,0.01810
1.59232,1.05167,0.35292,0.39619,3.91378,0.78178,-1.19614,2.86210,0.42886,1.43074,8.19164,0.18392
0.98117,0.77978,0.11631,0.32743,2.23218,0.27470,-0.65374,1.45241,0.15839,0.42737,2.10948,0.02509
0.76155,1.53641,0.25469,0.19104,3.24037,0.36989,-0.57051,1.70396,0.11520,0.32548,2.90348,0.01327
1.88704,1.81601,0.20318,0.29823,9.87309,0.68863,-1.58881,8.05708,0.48545,2.52433,64.91659,0.23566
0.86278,0.63965,0.45889,2.03853,0.04910,-0.43121,1.17575,-0.59056,-0.89010,1.38240,0.34876,0.79228
1.58893,1.84567,0.45483,0.22497,11.16732,0.80316,-1.36397,9.32166,0.34833,1.86040,86.89332,0.12133
1.84783,1.40964,0.10368,0.27563,13.29130,0.67057,-1.57220,11.88165,0.56689,2.47181,141.17369,0.32136
1.47794,0.83640,0.38487,0.34086,4.54904,0.91714,-1.13708,3.71263,0.53227,1.29295,13.78364,0.28331
1.77384,1.48642,0.32732,0.26578,13.78427,0.75258,-1.50806,12.29785,0.42526,2.27424,151.23702,0.18085
1.95952,1.08965,0.45682,0.54250,3.58689,1.11024,-1.41701,2.49724,0.65342,2.00792,6.23621,0.42696
1.23878,0.79286,0.38898,0.31825,3.88610,0.72387,-0.92052,3.09323,0.33489,0.84737,9.56810,0.11215
1.91069,1.93089,0.46595,0.41455,33.32686,0.95438,-1.49614,31.39597,0.48843,2.23844,985.70702,0.23857
1.77951,0.94167,0.25404,0.53855,2.29646,0.76249,-1.24096,1.35479,0.50846,1.53999,1.83545,0.25853
1.90423,1.54404,0.32802,0.45484,30.37440,0.87895,-1.44939,28.83036,0.55092,2.10074,831.18953,0.30352
1.61115,1.54552,0.38099,0.23384,12.59180,0.86109,-1.37732,11.04628,0.48009,1.89700,122.02025,0.23049
1.80061,1.86986,0.30454,0.27168,13.48485,0.77269,-1.52893,11.61499,0.46815,2.33763,134.90798,0.21916
1.69369,1.83501,0.23520,0.20763,17.64406,0.65946,-1.48605,15.80905,0.42426,2.20836,249.92609,0.18000
1.19840,1.31397,0.21462,0.25715,6.02996,0.48277,-0.94125,4.71599,0.26815,0.88595,22.24060,0.07191
1.28336,1.65499,0.18633,0.24288,8.01172,0.56763,-1.04048,6.35673,0.38130,1.08260,40.40804,0.14539
1.58914,1.96378,0.30652,0.22137,16.54920,0.64299,-1.36777,14.58542,0.33647,1.87078,212.73462,0.11321
0.61768,0.53803,0.48506,0.00000,0.00000,0.57017,-0.61768,-0.53803,0.08511,0.38153,0.28947,0.00724
0.73466,0.87536,0.31969,0.28555,1.78892,0.40911,-0.44911,0.91355,0.08942,0.20170,0.83458,0.00800
1.60685,1.33153,0.34469,0.25395,8.65224,0.76736,-1.35290,7.32071,0.42267,1.83033,53.59281,0.17865
0.52159,0.67411,0.11840,0.08190,11.83626,0.18802,-0.43969,11.16215,0.06961,0.19333,124.59368,0.00485
0.64675,1.23742,0.28939,0.08499,12.92637,0.36176,-0.56176,11.68894,0.07237,0.31558,136.63135,0.00524
1.45264,0.56796,0.24985,0.70661,1.03436,0.70399,-0.74603,0.46640,0.45415,0.55656,0.21753,0.20625
0.74440,0.60585,0.35697,0.13926,7.88884,0.50013,-0.60514,7.28299,0.14316,0.36619,53.04187,0.02050
1.08225,1.46493,0.28330,0.19821,7.82301,0.51425,-0.88405,6.35807,0.23095,0.78154,40.42510,0.05334
1.85803,0.79369,0.12774,0.48446,4.53541,0.77500,-1.37357,3.74173,0.64726,1.88669,14.00053,0.41895
1.76731,0.53491,0.42579,0.66824,1.64403,1.08467,-1.09907,1.10912,0.65889,1.20795,1.23014,0.43413
1.81621,1.60261,0.42139,0.25817,14.19021,0.95293,-1.55804,12.58760,0.53154,2.42747,158.44779,0.28253
1.98576,1.11893,0.24881,0.45344,4.29141,0.96973,-1.53232,3.17248,0.72092,2.34799,10.06464,0.51973
1.14349,1.62631,0.40182,0.17272,14.54509,0.65397,-0.97077,12.91878,0.25216,0.94239,166.89489,0.06358
0.98007,1.84328,0.25568,0.11141,32.88211,0.45251,-0.86866,31.03882,0.19683,0.75457,963.40865,0.03874
1.36016,1.44776,0.27938,0.19302,11.38332,0.67922,-1.16714,9.93556,0.39985,1.36221,98.71538,0.15988
1.68737,1.68443,0.13648,0.22841,12.89070,0.57808,-1.45895,11.20628,0.44160,2.12855,125.58062,0.19501
1.83156,1.02637,0.14683,0.46090,5.45082,0.81605,-1.37065,4.42445,0.66923,1.87869,19.57572,0.44786
0.62616,1.55145,0.12911,0.15292,4.04807,0.20897,-0.47324,2.49661,0.07986,0.22395,6.23307,0.00638
1.97996,1.06141,0.24826,0.58673,2.95639,0.84982,-1.39323,1.89498,0.60157,1.94109,3.59096,0.36188
1.66572,1.33761,0.26969,0.30653,5.65889,0.75112,-1.35919,4.32129,0.48144,1.84741,18.67353,0.23178
1.20299,0.58445,0.14753,0.37973,2.89313,0.51889,-0.82326,2.30867,0.37136,0.67776,5.32998,0.13791
1.94326,1.06231,0.21428,0.52659,2.94461,0.88401,-1.41667,1.88230,0.66972,2.00696,3.54306,0.44853
1.33078,1.95395,0.30924,0.20752,12.10637,0.58060,-1.12326,10.15242,0.27137,1.26172,103.07162,0.07364
1.37647,1.85174,0.11818,0.16359,17.99887,0.51345,-1.21288,16.14714,0.39527,1.47108,260.73001,0.15624
0.78218,1.19555,0.24134,0.18375,4.61115,0.34134,-0.59843,3.41561,0.10000,0.35812,11.66637,0.01000
1.52710,0.74393,0.46437,0.78777,1.07556,0.75731,-0.73932,0.33163,0.29294,0.54660,0.10998,0.08582
1.79910,0.56783,0.11055,0.65009,1.68994,0.78779,-1.14901,1.12212,0.67724,1.32022,1.25915,0.45866
1.95487,1.76318,0.43533,0.25732,14.23745,0.85580,-1.69756,12.47427,0.42047,2.88170,155.60748,0.17679
1.79708,1.71935,0.49989,0.32074,5.40817,1.03786,-1.47635,3.68882,0.53797,2.17960,13.60738,0.28941
1.77447,0.87102,0.28022,0.44935,4.88972,0.91396,-1.32512,4.01870,0.63375,1.75594,16.14996,0.40163
1.50755,1.42719,0.24327,0.30181,9.75599,0.65963,-1.20574,8.32880,0.41637,1.45382,69.36889,0.17336
1.28025,1.77827,0.32076,0.20104,10.92913,0.59766,-1.07920,9.15085,0.27690,1.16468,83.73812,0.07667
0.54317,1.63271,0.34812,0.09392,7.78198,0.41146,-0.44925,6.14928,0.06334,0.20183,37.81363,0.00401
1.02588,1.38488,0.25690,0.18800,8.24774,0.46814,-0.83788,6.86287,0.21124,0.70204,47.09894,0.04462
1.67548,1.09481,0.34883,0.48955,2.83179,0.85039,-1.18593,1.73698,0.50156,1.40644,3.01710,0.25156
1.18870,1.97005,0.29705,0.15807,15.89399,0.50302,-1.03064,13.92394,0.20597,1.06221,193.87616,0.04242
0.69332,0.69207,0.16076,0.15558,5.44592,0.25627,-0.53774,4.75385,0.09550,0.28916,22.59912,0.00912
1.84518,1.21094,0.36702,0.32348,9.10241,0.92657,-1.52171,7.89147,0.55955,2.31559,62.27528,0.31309
0.63305,0.68095,0.28431,0.10554,6.92503,0.38104,-0.52751,6.24408,0.09673,0.27827,38.98854,0.00936
0.55897,1.69912,0.35116,0.05536,28.01127,0.42220,-0.50361,26.31216,0.07104,0.25363,692.32968,0.00505
1.62239,0.77678,0.18374,0.46698,2.96860,0.89353,-1.15540,2.19182,0.70979,1.33496,4.80407,0.50380
1.19380,1.62121,0.11467,0.17942,12.24606,0.40343,-1.01438,10.62485,0.28876,1.02897,112.88743,0.08338
1.29817,0.66076,0.27896,0.44219,1.91612,0.58899,-0.85598,1.25536,0.31003,0.73270,1.57594,0.09612
0.53011,0.98312,0.18458,0.12537,4.93751,0.26437,-0.40473,3.95439,0.07979,0.16381,15.63724,0.00637
1.24766,0.63038,0.31484,0.62111,1.17674,0.57190,-0.62655,0.54636,0.25706,0.39257,0.29851,0.06608
0.92566,1.04462,0.35837,0.23341,4.15316,0.50929,-0.69225,3.10854,0.15093,0.47921,9.66301,0.02278
0.72929,0.86894,0.16427,0.13419,7.22397,0.27511,-0.59510,6.35503,0.11083,0.35414,40.38642,0.01228
0.62035,1.28677,0.26416,0.80508,0.12431,0.19087,0.18473,-1.16245,-0.07329,0.03412,1.35130,0.00537
1.79826,1.72561,0.20316,0.45287,30.50688,0.70036,-1.34540,28.78127,0.49720,1.81009,828.36176,0.24721
1.35742,0.91997,0.40780,0.25307,6.12702,0.76394,-1.10434,5.20705,0.35614,1.21958,27.11337,0.12684
0.86361,0.67226,0.34425,0.26565,2.75126,0.48221,-0.59796,2.07900,0.13797,0.35756,4.32226,0.01903
1.29888,0.57774,0.23464,0.37744,2.91071,0.65714,-0.92145,2.33298,0.42249,0.84907,5.44279,0.17850
1.52225,1.64034,0.33826,0.20312,12.36850,0.64276,-1.31913,10.72815,0.30450,1.74011,115.09327,0.09272
1.74593,1.94754,0.14972,0.21927,13.42855,0.56567,-1.52666,11.48101,0.41595,2.33070,131.81360,0.17301
1.76274,0.70966,0.41811,0.51319,3.02148,1.02448,-1.24955,2.31182,0.60637,1.56138,5.34451,0.36769
1.49780,1.28460,0.24353,0.33328,4.15949,0.71752,-1.16451,2.87489,0.47399,1.35609,8.26498,0.22466
1.06542,1.19402,0.22055,0.24752,4.43853,0.40759,-0.81790,3.24451,0.18704,0.66896,10.52683,0.03498
1.07584,1.31533,0.46259,0.25261,4.89599,0.65146,-0.82323,3.58066,0.18888,0.67771,12.82113,0.03567
1.69104,1.43011,0.31338,0.33231,5.85567,0.75812,-1.35873,4.42557,0.44474,1.84614,19.58563,0.19779
0.87273,1.61592,0.11341,0.14061,9.85890,0.28304,-0.73212,8.24298,0.16963,0.53600,67.94677,0.02877
1.73189,0.66595,0.43858,0.49817,3.11255,1.17304,-1.23371,2.44660,0.73445,1.52204,5.98587,0.53942
0.84388,1.58338,0.38801,0.17061,7.24910,0.54516,-0.67327,5.66572,0.15714,0.45329,32.10041,0.02469
1.01854,0.77240,0.46338,0.26057,2.80494,0.66579,-0.75797,2.03254,0.20241,0.57452,4.13123,0.04097
0.73003,1.37934,0.30236,0.14672,6.60729,0.42208,-0.58331,5.22795,0.11972,0.34025,27.33141,0.01433
1.88375,1.56086,0.16102,0.36580,8.04935,0.60035,-1.51795,6.48849,0.43934,2.30418,42.10054,0.19302
1.90155,1.88835,0.28034,0.48083,28.73248,0.75132,-1.42072,26.84413,0.47099,2.01844,720.60743,0.22183
1.09850,0.58214,0.23408,0.53809,0.75353,0.48636,-0.56042,0.17138,0.25228,0.31407,0.02937,0.06365
1.01952,1.02043,0.39500,0.19761,5.55962,0.61696,-0.82191,4.53919,0.22196,0.67554,20.60429,0.04927
0.76458,1.24755,0.26757,0.21261,2.40268,0.41119,-0.55197,1.15513,0.14362,0.30468,1.33433,0.02063
0.51964,1.49531,0.17121,0.27671,0.72519,0.21423,-0.24293,-0.77012,0.04301,0.05901,0.59308,0.00185
1.99531,1.25329,0.33815,0.41367,8.85624,0.92915,-1.58165,7.60295,0.59099,2.50160,57.80480,0.34927
0.80771,0.78603,0.11462,0.26388,2.34589,0.24115,-0.54383,1.55986,0.12653,0.29575,2.43317,0.01601
1.17993,1.28659,0.27631,0.21512,8.06325,0.51764,-0.96481,6.77667,0.24133,0.93086,45.92322,0.05824
1.79268,1.91917,0.24932,0.47858,28.86769,0.62562,-1.31410,26.94851,0.37629,1.72685,726.22230,0.14160
0.73423,1.57396,0.36357,0.07653,25.42549,0.47316,-0.65770,23.85153,0.10959,0.43256,568.89555,0.01201
0.52957,0.65616,0.41997,0.12470,4.96432,0.47468,-0.40487,4.30816,0.05472,0.16392,18.56021,0.00299
0.86476,1.58340,0.44228,0.15634,6.20073,0.63243,-0.70842,4.61733,0.19015,0.50186,21.31971,0.03616
0.93972,1.84450,0.10520,0.09371,26.80830,0.28910,-0.84601,24.96380,0.18390,0.71573,623.19107,0.03382
1.83901,1.72617,0.23673,0.21406,17.11473,0.79298,-1.62495,15.38856,0.55626,2.64047,236.80777,0.30942
1.43622,1.11412,0.32082,0.30180,5.74756,0.74167,-1.13443,4.63344,0.42085,1.28692,21.46881,0.17711
0.71017,1.80270,0.29497,0.15732,5.38584,0.39572,-0.55285,3.58314,0.10075,0.30564,12.83890,0.01015
0.90302,1.31245,0.35339,0.14917,9.29318,0.53545,-0.75384,7.98073,0.18206,0.56828,63.69203,0.03315
1.28854,0.75752,0.20892,0.28263,6.88499,0.49878,-1.00591,6.12747,0.28985,1.01185,37.54595,0.08402
1.47713,1.74461,0.18257,0.39059,35.37125,0.55148,-1.08654,33.62663,0.36891,1.18058,1130.75051,0.13609
1.49756,0.76306,0.46576,0.34004,3.63715,0.97132,-1.15752,2.87410,0.50555,1.33985,8.26043,0.25558
0.74943,1.60705,0.13312,0.10464,10.49854,0.24653,-0.64478,8.89149,0.11341,0.41574,79.05852,0.01286
1.03351,1.57857,0.21885,0.16151,9.60059,0.49033,-0.87200,8.02202,0.27149,0.76038,64.35281,0.07370
1.59886,0.82241,0.11247,0.43800,3.54013,0.59231,-1.16085,2.71772,0.47983,1.34758,7.38600,0.23024
1.39526,1.00137,0.40836,0.27477,7.08191,0.82370,-1.12049,6.08054,0.41534,1.25551,36.97299,0.17250
1.53260,1.15224,0.19856,0.42516,3.26066,0.66683,-1.10745,2.10842,0.46827,1.22644,4.44542,0.21928
1.38535,1.04146,0.13663,0.43310,2.23826,0.43629,-0.95224,1.19680,0.29965,0.90676,1.43232,0.08979
1.80942,1.59834,0.42262,0.30294,8.29307,0.96200,-1.50648,6.69473,0.53937,2.26948,44.81941,0.29092
1.23414,0.83181,0.49507,0.69661,0.73330,0.76324,-0.53752,-0.09852,0.26818,0.28893,0.00971,0.07192
1.54613,0.94602,0.46976,0.66647,1.27132,0.87222,-0.87966,0.32530,0.40246,0.77380,0.10582,0.16197
1.76682,0.97865,0.43157,0.39678,7.42086,0.92899,-1.37005,6.44221,0.49742,1.87703,41.50210,0.24743
0.61543,1.54443,0.23595,0.11792,6.19813,0.31868,-0.49751,4.65370,0.08273,0.24752,21.65692,0.00684
1.68608,0.97813,0.35036,0.55172,2.24164,0.76922,-1.13436,1.26351,0.41886,1.28678,1.59647,0.17544
1.80515,0.53190,0.44988,0.97235,0.99697,0.93795,-0.83280,0.46506,0.48807,0.69356,0.21628,0.23821
1.44126,1.81052,0.49363,0.16701,13.15631,0.76458,-1.27425,11.34579,0.27095,1.62371,128.72703,0.07341
0.85817,0.66571,0.24185,0.23275,3.14028,0.38503,-0.62542,2.47457,0.14318,0.39115,6.12349,0.02050
0.52681,1.98158,0.27111,0.06827,16.09278,0.32510,-0.45854,14.11120,0.05399,0.21026,199.12600,0.00291
1.67952,0.63412,0.26703,1.13561,0.54511,0.59582,-0.54391,-0.08900,0.32879,0.29583,0.00792,0.10810
0.75055,1.98675,0.19267,0.15358,6.31194,0.32404,-0.59697,4.32519,0.13137,0.35637,18.70723,0.01726
0.84600,0.76479,0.18819,0.21879,4.43063,0.33589,-0.62721,3.66584,0.14770,0.39339,13.43836,0.02181
1.95365,1.82568,0.47110,0.24706,8.89339,0.94509,-1.70659,7.06771,0.47399,2.91246,49.95252,0.22467
1.54403,0.73084,0.42633,0.37490,3.69773,0.94967,-1.16913,2.96689,0.52333,1.36686,8.80241,0.27388
1.37013,0.63723,0.45098,0.49664,2.21210,0.86707,-0.87349,1.57487,0.41608,0.76299,2.48021,0.17313
0.63048,1.11268,0.24908,0.12840,7.54990,0.34034,-0.50208,6.43722,0.09126,0.25209,41.43778,0.00833
0.83027,1.52489,0.13045,0.16812,5.03982,0.20950,-0.66215,3.51493,0.07905,0.43845,12.35472,0.00625
1.73702,1.02171,0.37121,0.40917,4.23927,0.98434,-1.32785,3.21755,0.61314,1.76318,10.35264,0.37594
1.48768,1.77587,0.44692,0.23083,10.88386,0.82232,-1.25685,9.10799,0.37540,1.57967,82.95550,0.14093
1.42792,1.62907,0.16344,0.25065,6.92028,0.50387,-1.17726,5.29120,0.34043,1.38595,27.99684,0.11589
1.61526,0.74114,0.42719,0.71591,1.18352,0.87370,-0.89935,0.44238,0.44651,0.80883,0.19570,0.19937
1.42539,1.97178,0.35273,0.22402,16.35324,0.69045,-1.20137,14.38146,0.33772,1.44328,206.82633,0.11406
0.66047,1.64154,0.31651,0.16327,3.12876,0.42471,-0.49720,1.48722,0.10821,0.24721,2.21181,0.01171
0.65376,1.90584,0.37515,0.05741,33.89465,0.48223,-0.59635,31.98881,0.10707,0.35564,1023.28381,0.01146
1.37326,1.01882,0.34837,0.24751,8.87744,0.76303,-1.12575,7.85861,0.41466,1.26731,61.75781,0.17194
0.53319,0.98542,0.29546,0.27980,1.08036,0.34056,-0.25339,0.09494,0.04510,0.06421,0.00901,0.00203
1.99569,1.13927,0.28055,0.45785,6.43095,1.01604,-1.53784,5.29168,0.73549,2.36494,28.00183,0.54094
0.62357,1.52075,0.36180,0.08148,15.17855,0.45834,-0.54209,13.65780,0.09654,0.29386,186.53542,0.00932
1.45779,1.09639,0.20969,0.51869,1.63353,0.63643,-0.93910,0.53714,0.42674,0.88191,0.28852,0.18211
0.81966,0.54670,0.36067,0.37061,1.37834,0.49051,-0.44905,0.83164,0.12985,0.20165,0.69163,0.01686
0.77829,1.80293,0.41064,0.13699,8.01992,0.54455,-0.64130,6.21699,0.13391,0.41127,38.65093,0.01793
0.69687,0.54879,0.46834,0.46289,0.65302,0.53374,-0.23397,0.10424,0.06540,0.05474,0.01087,0.00428
0.68778,1.52835,0.27212,0.09061,15.29901,0.36861,-0.59717,13.77066,0.09649,0.35661,189.63117,0.00931
0.90349,1.69634,0.22414,0.09651,16.06691,0.38424,-0.80698,14.37057,0.16010,0.65122,206.51328,0.02563
0.93749,1.54247,0.44405,0.15717,7.86901,0.62603,-0.78033,6.32653,0.18198,0.60891,40.02502,0.03312
0.86307,1.97999,0.15700,0.11807,14.69097,0.33331,-0.74500,12.71098,0.17632,0.55502,161.56899,0.03109
0.51466,0.98969,0.30708,0.07149,13.55940,0.36848,-0.44316,12.56970,0.06139,0.19639,157.99747,0.00377
1.09538,0.69907,0.32702,0.50234,1.23230,0.53109,-0.59304,0.53323,0.20408,0.35170,0.28433,0.04165
0.65685,1.45465,0.38259,0.07642,22.69679,0.50488,-0.58043,21.24214,0.12229,0.33690,451.22866,0.01495
1.57113,1.70259,0.23578,0.24683,8.90179,0.68814,-1.32430,7.19920,0.45236,1.75378,51.82844,0.20463
1.46537,1.28960,0.39264,0.23231,12.67465,0.75060,-1.23306,11.38505,0.35796,1.52043,129.61936,0.12813
1.48806,1.24729,0.32215,0.33130,4.68027,0.73642,-1.15676,3.43298,0.41428,1.33809,11.78532,0.17163
1.52034,0.60830,0.11226,0.48567,2.54652,0.67472,-1.03468,1.93823,0.56246,1.07056,3.75672,0.31636
1.61406,1.13824,0.23837,0.38360,5.07278,0.73835,-1.23046,3.93454,0.49998,1.51404,15.48064,0.24998
1.58789,1.23000,0.44937,0.36438,3.80453,0.80938,-1.22351,2.57452,0.36001,1.49697,6.62817,0.12960
1.86855,0.81599,0.34919,0.63147,2.19532,0.94124,-1.23707,1.37933,0.59206,1.53034,1.90255,0.35053
1.86355,0.76952,0.19502,0.99550,0.73419,0.73260,-0.86805,-0.03534,0.53758,0.75351,0.00125,0.28899
0.87085,1.80612,0.27812,0.09741,15.91813,0.45694,-0.77344,14.11201,0.17881,0.59820,199.14880,0.03197
1.08662,1.95412,0.20325,0.13160,14.78635,0.44771,-0.95502,12.83223,0.24446,0.91207,164.66608,0.05976
1.95473,1.18068,0.19442,0.33438,10.95616,0.86414,-1.62035,9.77548,0.66972,2.62554,95.55996,0.44853
1.74333,1.14633,0.19949,0.40435,4.81237,0.68794,-1.33897,3.66604,0.48846,1.79284,13.43982,0.23859
0.55501,1.60460,0.36552,0.08378,11.57138,0.43970,-0.47123,9.96678,0.07418,0.22206,99.33663,0.00550
1.80241,0.80876,0.14477,0.45916,3.77776,0.79992,-1.34325,2.96900,0.65515,1.80431,8.81494,0.42922
0.55902,0.68316,0.28088,0.59574,-0.16800,0.27020,0.03672,-0.85116,-0.01068,0.00135,0.72448,0.00011
0.72251,1.97995,0.48605,0.07112,41.40062,0.59925,-0.65139,39.42068,0.11320,0.42431,1553.98963,0.01281
1.18211,1.27339,0.29554,0.21461,6.45958,0.62189,-0.96750,5.18619,0.32635,0.93606,26.89654,0.10651
1.51015,1.95487,0.13756,0.18794,15.66671,0.52262,-1.32221,13.71185,0.38506,1.74823,188.01470,0.14827
1.53894,1.75717,0.47785,0.21899,11.47236,0.95947,-1.31995,9.71519,0.48162,1.74227,94.38494,0.23196
1.35591,0.54558,0.47238,0.78068,0.79294,0.70388,-0.57523,0.24736,0.23150,0.33089,0.06119,0.05359
1.09080,1.47685,0.14264,0.20905,6.63129,0.37758,-0.88174,5.15444,0.23494,0.77747,26.56830,0.05520
1.67358,1.35052,0.39538,0.30913,5.61118,0.77749,-1.36445,4.26066,0.38211,1.86171,18.15321,0.14601
1.71177,1.64343,0.41913,0.26046,11.30468,0.86260,-1.45131,9.66125,0.44348,2.10630,93.33975,0.19667
0.50864,0.98688,0.24658,0.12405,4.99029,0.29900,-0.38459,4.00342,0.05242,0.14791,16.02733,0.00275
0.85632,1.05988,0.19091,0.15000,10.33736,0.39379,-0.70632,9.27748,0.20288,0.49888,86.07161,0.04116
1.19524,1.06968,0.44533,0.28308,4.36892,0.72483,-0.91216,3.29924,0.27950,0.83204,10.88498,0.07812
1.07029,1.09823,0.33207,0.27105,4.05313,0.61774,-0.79924,2.95489,0.28567,0.63879,8.73140,0.08161
